Observation id,MORE DLM 04_2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,MORE DLM 04_2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-04 15:13:48,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
5.357,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
5.357,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,start of trial,,,POINT
6.580,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
6.581,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,bubble release,,,POINT
7.641,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
7.641,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
8.107,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
8.108,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
8.360,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
8.876,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
8.942,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
9.275,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
9.276,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
9.743,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
9.810,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
10.209,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
10.210,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
10.277,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
10.410,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
10.610,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
10.611,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
11.078,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
11.478,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
11.611,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
11.612,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
11.979,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
12.045,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
12.245,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
12.246,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
12.312,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
12.513,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
12.778,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
12.779,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
12.980,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
13.246,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
13.247,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
13.847,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
14.589,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
16.591,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,chest,,,POINT
16.591,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
18.089,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
18.593,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,chest,,,POINT
19.152,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
19.285,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
19.286,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,bubble release,,,POINT
20.020,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
20.020,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
20.152,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
20.153,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
33.843,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
