Observation id,BILS KT 04_2 b3,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,BILS KT 04_2 b3.MP4,,,,,,,
,,,,,,,,
Observation date,2019-10-14 17:39:30,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
122.862,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,chest out of view,,,START
122.862,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,start of trial,,,POINT
122.948,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,gular pump,,,POINT
128.929,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
133.733,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
133.734,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,bubble release,,,POINT
137.204,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
137.870,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
137.871,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
143.210,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
143.216,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
144.076,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
144.077,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
144.216,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
144.217,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
147.218,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
148.722,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
153.218,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
157.218,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
163.718,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
170.241,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
170.242,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,bubble release,,,POINT
180.746,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
181.490,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
181.491,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
182.250,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
190.257,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
190.258,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
193.861,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
194.527,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
194.528,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
195.768,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
198.264,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,gular pump,,,POINT
198.769,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
198.770,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
199.771,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,gular pump,,,POINT
208.775,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
209.526,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
209.527,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
216.583,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
216.849,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
216.850,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
219.553,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
219.952,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
219.953,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
220.294,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
225.294,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,STOP
225.295,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,reinhale,,toh,POINT
225.298,BILS KT 04_2 b3.MP4,419.920,29.97,BILS KT 04,exhale,,,START
