Observation id,Boccia272 hide + vdunk 2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia272 hide+vdive.MP4,,,,,,,
,,,,,,,,
Observation date,2019-03-05 17:02:37,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
399.541,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,exhale,,,START
400.208,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,exhale,,,STOP
400.209,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,reinhale,,soh,POINT
407.339,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,exhale,,,START
407.881,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,exhale,,,STOP
407.882,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,reinhale,,soh,POINT
412.766,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,head out of view,,,START
412.766,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,throat out of view,,,START
432.021,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,chest out of view,,,STOP
432.021,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,end of trial,,,POINT
432.021,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,head out of view,,,STOP
432.021,Boccia272 hide+vdive.MP4,506.340,23.98,Boccia 272,throat out of view,,,STOP
