Observation id,ANOX301,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,ANOX301.MOV,,,,,,,
,,,,,,,,
Observation date,2019-10-20 20:28:57,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
163.085,ANOX301.MOV,475.000,60.0,ANOX3,start of trial,,,POINT
163.839,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
174.339,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
174.340,ANOX301.MOV,475.000,60.0,ANOX3,bubble release,,,POINT
174.600,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
181.840,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
191.590,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
196.336,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
203.585,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
203.586,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
204.595,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
204.836,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
204.837,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
205.338,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
205.338,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
206.087,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
206.088,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
208.338,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
208.839,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
208.840,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
208.840,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
209.089,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
210.337,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
211.086,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
211.087,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
211.337,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
211.836,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
212.337,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
212.338,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
212.589,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
215.586,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
215.838,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
216.088,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
216.089,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
220.587,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
220.589,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
220.840,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
220.841,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
224.837,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
224.843,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
225.335,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
225.336,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
226.837,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
227.090,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
227.336,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
227.337,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
227.587,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
228.839,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
228.840,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
232.090,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
232.340,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
232.585,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
232.586,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
238.586,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
238.590,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
239.336,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
239.337,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
247.587,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
247.836,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,STOP
247.837,ANOX301.MOV,475.000,60.0,ANOX3,reinhale,,soh,POINT
252.838,ANOX301.MOV,475.000,60.0,ANOX3,chest,,,POINT
252.840,ANOX301.MOV,475.000,60.0,ANOX3,exhale,,,START
