Observation id,ANOX105_2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,ANOX105.MOV,,,,,,,
,,,,,,,,
Observation date,2020-02-10 20:59:58,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
506.085,ANOX105.MOV,724.500,60.0,ANOX1,start of trial,,,POINT
508.836,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
509.835,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
509.836,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
510.085,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
510.834,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
510.835,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
511.335,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
520.084,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
520.085,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
520.090,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
520.334,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
521.086,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
523.085,ANOX105.MOV,724.500,60.0,ANOX1,chest,,,POINT
523.085,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
523.586,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
530.584,ANOX105.MOV,724.500,60.0,ANOX1,chest,,,POINT
530.588,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
531.087,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
531.088,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
536.838,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
537.087,ANOX105.MOV,724.500,60.0,ANOX1,chest,,,POINT
537.087,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
538.089,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
538.090,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
543.838,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
544.086,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
544.335,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
544.584,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
544.585,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
545.087,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
553.585,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
553.586,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
553.586,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,lbn,POINT
554.091,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
562.589,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
562.590,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
568.588,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
569.095,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
569.096,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
577.591,ANOX105.MOV,724.500,60.0,ANOX1,chest,,,POINT
584.837,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
591.591,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,soh,STOP
591.592,ANOX105.MOV,724.500,60.0,ANOX1,bubble release,,,POINT
591.592,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,,POINT
592.586,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
601.336,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
601.337,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
610.085,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
611.085,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
611.086,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
615.836,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
617.585,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
622.335,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
622.342,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
622.835,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
622.836,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
631.839,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,START
635.084,ANOX105.MOV,724.500,60.0,ANOX1,gular pump,,,POINT
635.088,ANOX105.MOV,724.500,60.0,ANOX1,exhale,,,STOP
635.089,ANOX105.MOV,724.500,60.0,ANOX1,reinhale,,soh,POINT
